Team,Opponent,Goals Made,Goals Conceded,Delta Goals,Wins,Losses,Result
Switzerland,Togo,2,0,2,1,0,Group
Togo,Switzerland,0,2,-2,0,1,Group
Togo,France,0,2,-2,0,1,Group
Togo,Korea,1,2,-1,0,1,Group
Trinidad and Tobago,Sweden,0,0,0,0,0,Group
Trinidad and Tobago,England,0,2,-2,0,1,Group
Trinidad and Tobago,Paraguay,0,2,-2,0,1,Group
Tunisia,Saudi Arabia,2,2,0,0,0,Group
Tunisia,Spain,1,3,-2,0,1,Group
Tunisia,Ukraine,0,1,-1,0,1,Group
Ukraine,Switzerland,0,0,0,0,0,Round of Sixteen
Ukraine,Italy,0,3,-3,0,1,Quarter Finals
Ukraine,Tunisia,1,0,1,1,0,Group
Ukraine,Spain,0,4,-4,0,1,Group
Ukraine,Saudi Arabia,4,0,4,1,0,Group
UnitedStates,Czech Republic,0,3,-3,0,1,Group
UnitedStates,Italy,1,1,0,0,0,Group
UnitedStates,Ghana,1,2,-1,0,1,Group
