Team,Opponent,Goals Made,Goals Conceded,Delta Goals,Wins,Losses,Result
Egypt,Ireland,0,0,0,0,0,Group
Spain,Korea,3,1,2,1,0,Group
Uruguay,Belgium,1,3,-2,0,1,Group
Romania,Argentina,1,1,0,0,0,Group
SovietUnion,Cameroon,4,0,4,1,0,Group
Colombia,GermanyFR,1,1,0,0,0,Group
UnitedArabEmirates,Yugoslavia,1,4,-3,0,1,Group
Czechoslovakia,Italy,0,2,-2,0,1,Group
UnitedStates,Austria,1,2,-1,0,1,Group
Scotland,Brazil,0,1,-1,0,1,Group
CostaRica,Sweden,2,1,1,1,0,Group
Uruguay,Korea,1,0,1,1,0,Group
Spain,Belgium,2,1,1,1,0,Group
Netherlands,Ireland,1,1,0,0,0,Group
Egypt,England,0,1,-1,0,1,Group
Colombia,Cameroon,1,2,-1,0,1,Round of Sixteen
CostaRica,Czechoslovakia,1,4,-3,0,1,Round of Sixteen
Argentina,Brazil,1,0,1,1,0,Round of Sixteen
Netherlands,GermanyFR,1,2,-1,0,1,Round of Sixteen
Romania,Ireland,0,0,0,0,0,Round of Sixteen
Uruguay,Italy,0,2,-2,0,1,Round of Sixteen
Yugoslavia,Spain,2,1,1,1,0,Round of Sixteen
Belgium,England,0,1,-1,0,1,Round of Sixteen
Argentina,Yugoslavia,0,0,0,0,0,Quarter Finals
Ireland,Italy,0,1,-1,0,1,Quarter Finals
Czechoslovakia,GermanyFR,0,1,-1,0,1,Quarter Finals
Cameroon,England,2,3,-1,0,1,Quarter Finals
Argentina,Italy,1,1,0,0,0,Semi Finals
England,GermanyFR,1,1,0,0,0,Semi Finals
England,Italy,1,2,-1,0,1,Fourth Place
Argentina,GermanyFR,0,1,-1,0,1,Runner-Up
Sweden,Paraguay,1,0,1,1,0,Group
Sweden,England,2,2,0,0,0,Group
Sweden,Trinidad and Tobago,0,0,0,0,0,Group
Switzerland,Ukraine,0,0,0,0,0,Round of Sixteen
Switzerland,Korea,2,0,2,1,0,Group
Switzerland,France,0,0,0,0,0,Group
Switzerland,Togo,2,0,2,1,0,Group
Togo,Switzerland,0,2,-2,0,1,Group
Togo,France,0,2,-2,0,1,Group
Togo,Korea,1,2,-1,0,1,Group
Trinidad and Tobago,Sweden,0,0,0,0,0,Group
Trinidad and Tobago,England,0,2,-2,0,1,Group
Trinidad and Tobago,Paraguay,0,2,-2,0,1,Group
Tunisia,Saudi Arabia,2,2,0,0,0,Group
Tunisia,Spain,1,3,-2,0,1,Group
Tunisia,Ukraine,0,1,-1,0,1,Group
Ukraine,Switzerland,0,0,0,0,0,Round of Sixteen
Ukraine,Italy,0,3,-3,0,1,Quarter Finals
Ukraine,Tunisia,1,0,1,1,0,Group
Ukraine,Spain,0,4,-4,0,1,Group
Ukraine,Saudi Arabia,4,0,4,1,0,Group
UnitedStates,Czech Republic,0,3,-3,0,1,Group
UnitedStates,Italy,1,1,0,0,0,Group
UnitedStates,Ghana,1,2,-1,0,1,Group
