Team,Opponent,Goals Made,Goals Conceded,Delta Goals,Wins,Losses,Result
Germany,Korea,1,0,1,1,0,Semi Finals
Brazil,Turkey,1,0,1,1,0,Semi Finals
Korea,Turkey,2,3,-1,0,1,Fourth Place
Germany,Brazil,0,2,-2,0,1,Runner-Up
Senegal,France,1,0,1,1,0,Group
Denmark,Uruguay,2,1,1,1,0,Group
Cameroon,Ireland,1,1,0,0,0,Group
SaudiArabia,Germany,0,8,-8,0,1,Group
Nigeria,Argentina,0,1,-1,0,1,Group
SouthAfrica,Paraguay,2,2,0,0,0,Group
Sweden,England,1,1,0,0,0,Group
Slovenia,Spain,1,3,-2,0,1,Group
Turkey,Brazil,1,2,-1,0,1,Group
Ecuador,Italy,0,2,-2,0,1,Group
Mexico,Croatia,1,0,1,1,0,Group
CostaRica,China,2,0,2,1,0,Group
Belgium,Japan,2,2,0,0,0,Group
Poland,Korea,0,2,-2,0,1,Group
Tunisia,Russia,0,2,-2,0,1,Group
Portugal,UnitedStates,2,3,-1,0,1,Group
Ireland,Germany,1,1,0,0,0,Group
Senegal,Denmark,1,1,0,0,0,Group
SaudiArabia,Cameroon,0,1,-1,0,1,Group
Uruguay,France,0,0,0,0,0,Group
Nigeria,Sweden,1,2,-1,0,1,Group
England,Argentina,1,0,1,1,0,Group
Paraguay,Spain,1,3,-2,0,1,Group
Slovenia,SouthAfrica,0,1,-1,0,1,Group
China,Brazil,0,4,-4,0,1,Group
Croatia,Italy,2,1,1,1,0,Group
Turkey,CostaRica,1,1,0,0,0,Group
Russia,Japan,0,1,-1,0,1,Group
Ecuador,Mexico,1,2,-1,0,1,Group
UnitedStates,Korea,1,1,0,0,0,Group
Poland,Portugal,0,4,-4,0,1,Group
Belgium,Tunisia,1,1,0,0,0,Group
France,Denmark,0,2,-2,0,1,Group
Uruguay,Senegal,3,3,0,0,0,Group
Ireland,SaudiArabia,3,0,3,1,0,Group
Germany,Cameroon,2,0,2,1,0,Group
Argentina,Sweden,1,1,0,0,0,Group
England,Nigeria,0,0,0,0,0,Group
Paraguay,Slovenia,3,1,2,1,0,Group
Spain,SouthAfrica,3,2,1,1,0,Group
Brazil,CostaRica,5,2,3,1,0,Group
China,Turkey,0,3,-3,0,1,Group
Croatia,Ecuador,0,1,-1,0,1,Group
Italy,Mexico,1,1,0,0,0,Group
Japan,Tunisia,2,0,2,1,0,Group
Korea,Portugal,1,0,1,1,0,Group
UnitedStates,Poland,1,3,-2,0,1,Group
Russia,Belgium,2,3,-1,0,1,Group
England,Denmark,3,0,3,1,0,Round of Sixteen
Paraguay,Germany,0,1,-1,0,1,Round of Sixteen
Ireland,Spain,1,1,0,0,0,Round of Sixteen
Senegal,Sweden,2,1,1,1,0,Round of Sixteen
Belgium,Brazil,0,2,-2,0,1,Round of Sixteen
UnitedStates,Mexico,2,0,2,1,0,Round of Sixteen
Turkey,Japan,1,0,1,1,0,Round of Sixteen
Italy,Korea,1,2,-1,0,1,Round of Sixteen
Brazil,England,2,1,1,1,0,Quarter Finals
UnitedStates,Germany,0,1,-1,0,1,Quarter Finals
Turkey,Senegal,1,0,1,1,0,Quarter Finals
Korea,Spain,0,0,0,0,0,Quarter Finals
Korea,Germany,0,1,-1,0,1,Semi Finals
Turkey,Brazil,0,1,-1,0,1,Semi Finals
Turkey,Korea,3,2,1,1,0,Third Place
Brazil,Germany,2,0,2,1,0,Winner
