Team,Opponent,Goals Made,Goals Conceded,Delta Goals,Wins,Losses,Result
Sweden,Brazil,0,1,-1,0,1,Semi Finals
Sweden,Bulgaria,4,0,4,1,0,Third Place
Brazil,Italy,0,0,0,0,0,Winner
Korea,Spain,2,2,0,0,0,Group
Bolivia,Germany,0,1,-1,0,1,Group
Switzerland,UnitedStates,1,1,0,0,0,Group
Ireland,Italy,1,0,1,1,0,Group
Romania,Colombia,3,1,2,1,0,Group
Morocco,Belgium,0,1,-1,0,1,Group
Mexico,Norway,0,1,-1,0,1,Group
Sweden,Cameroon,2,2,0,0,0,Group
SaudiArabia,Netherlands,1,2,-1,0,1,Group
Russia,Brazil,0,2,-2,0,1,Group
Greece,Argentina,0,4,-4,0,1,Group
Bulgaria,Nigeria,0,3,-3,0,1,Group
Spain,Germany,1,1,0,0,0,Group
Switzerland,Romania,4,1,3,1,0,Group
Colombia,UnitedStates,1,2,-1,0,1,Group
Norway,Italy,0,1,-1,0,1,Group
Bolivia,Korea,0,0,0,0,0,Group
Ireland,Mexico,1,2,-1,0,1,Group
Russia,Sweden,1,3,-2,0,1,Group
Cameroon,Brazil,0,3,-3,0,1,Group
Netherlands,Belgium,0,1,-1,0,1,Group
Morocco,SaudiArabia,1,2,-1,0,1,Group
Nigeria,Argentina,1,2,-1,0,1,Group
Greece,Bulgaria,0,4,-4,0,1,Group
Romania,UnitedStates,1,0,1,1,0,Group
Colombia,Switzerland,2,0,2,1,0,Group
Korea,Germany,2,3,-1,0,1,Group
Spain,Bolivia,3,1,2,1,0,Group
Norway,Ireland,0,0,0,0,0,Group
Sweden,Brazil,1,1,0,0,0,Group
Mexico,Italy,1,1,0,0,0,Group
Cameroon,Russia,1,6,-5,0,1,Group
Netherlands,Morocco,2,1,1,1,0,Group
SaudiArabia,Belgium,1,0,1,1,0,Group
Nigeria,Greece,2,0,2,1,0,Group
Bulgaria,Argentina,2,0,2,1,0,Group
Belgium,Germany,2,3,-1,0,1,Round of Sixteen
Switzerland,Spain,0,3,-3,0,1,Round of Sixteen
Sweden,SaudiArabia,3,1,2,1,0,Round of Sixteen
Argentina,Romania,2,3,-1,0,1,Round of Sixteen
Ireland,Netherlands,0,2,-2,0,1,Round of Sixteen
UnitedStates,Brazil,0,1,-1,0,1,Round of Sixteen
Italy,Nigeria,2,1,1,1,0,Round of Sixteen
Bulgaria,Mexico,1,1,0,0,0,Round of Sixteen
Spain,Italy,1,2,-1,0,1,Quarter Finals
Brazil,Netherlands,3,2,1,1,0,Quarter Finals
Germany,Bulgaria,1,2,-1,0,1,Quarter Finals
Sweden,Romania,2,2,0,0,0,Quarter Finals
Italy,Bulgaria,2,1,1,1,0,Semi Finals
Brazil,Sweden,1,0,1,1,0,Semi Finals
Bulgaria,Sweden,0,4,-4,0,1,Fourth Place
Italy,Brazil,0,0,0,0,0,Runner-Up
Sweden,Paraguay,1,0,1,1,0,Group
Sweden,England,2,2,0,0,0,Group
Sweden,Trinidad and Tobago,0,0,0,0,0,Group
Switzerland,Ukraine,0,0,0,0,0,Round of Sixteen
Switzerland,Korea,2,0,2,1,0,Group
Switzerland,France,0,0,0,0,0,Group
Switzerland,Togo,2,0,2,1,0,Group
Togo,Switzerland,0,2,-2,0,1,Group
Togo,France,0,2,-2,0,1,Group
Togo,Korea,1,2,-1,0,1,Group
Trinidad and Tobago,Sweden,0,0,0,0,0,Group
Trinidad and Tobago,England,0,2,-2,0,1,Group
Trinidad and Tobago,Paraguay,0,2,-2,0,1,Group
Tunisia,Saudi Arabia,2,2,0,0,0,Group
Tunisia,Spain,1,3,-2,0,1,Group
Tunisia,Ukraine,0,1,-1,0,1,Group
Ukraine,Switzerland,0,0,0,0,0,Round of Sixteen
Ukraine,Italy,0,3,-3,0,1,Quarter Finals
Ukraine,Tunisia,1,0,1,1,0,Group
Ukraine,Spain,0,4,-4,0,1,Group
Ukraine,Saudi Arabia,4,0,4,1,0,Group
UnitedStates,Czech Republic,0,3,-3,0,1,Group
UnitedStates,Italy,1,1,0,0,0,Group
UnitedStates,Ghana,1,2,-1,0,1,Group
