Team,Opponent,Goals Made,Goals Conceded,Delta Goals,Wins,Losses,Result
Germany,Croatia,0,3,-3,0,1,Quarter Finals
Brazil,Netherlands,1,1,0,0,0,Semi Finals
France,Croatia,2,1,1,1,0,Semi Finals
Netherlands,Croatia,1,2,-1,0,1,Fourth Place
Brazil,France,0,3,-3,0,1,Runner-Up
Scotland,Brazil,1,2,-1,0,1,Group
Norway,Morocco,2,2,0,0,0,Group
Chile,Italy,2,2,0,0,0,Group
Austria,Cameroon,1,1,0,0,0,Group
Bulgaria,Paraguay,0,0,0,0,0,Group
Denmark,SaudiArabia,1,0,1,1,0,Group
SouthAfrica,France,0,3,-3,0,1,Group
Nigeria,Spain,3,2,1,1,0,Group
Mexico,Korea,3,1,2,1,0,Group
Belgium,Netherlands,0,0,0,0,0,Group
Japan,Argentina,0,1,-1,0,1,Group
Iran,Yugoslavia,0,1,-1,0,1,Group
Croatia,Jamaica,3,1,2,1,0,Group
Tunisia,England,0,2,-2,0,1,Group
Colombia,Romania,0,1,-1,0,1,Group
UnitedStates,Germany,0,2,-2,0,1,Group
Norway,Scotland,1,1,0,0,0,Group
Morocco,Brazil,0,3,-3,0,1,Group
Austria,Chile,1,1,0,0,0,Group
Cameroon,Italy,0,3,-3,0,1,Group
Denmark,SouthAfrica,1,1,0,0,0,Group
SaudiArabia,France,0,4,-4,0,1,Group
Bulgaria,Nigeria,0,1,-1,0,1,Group
Paraguay,Spain,0,0,0,0,0,Group
Croatia,Japan,1,0,1,1,0,Group
Mexico,Belgium,2,2,0,0,0,Group
Korea,Netherlands,0,5,-5,0,1,Group
Yugoslavia,Germany,2,2,0,0,0,Group
Jamaica,Argentina,0,5,-5,0,1,Group
Iran,UnitedStates,2,1,1,1,0,Group
Tunisia,Colombia,0,1,-1,0,1,Group
England,Romania,1,2,-1,0,1,Group
Austria,Italy,1,2,-1,0,1,Group
Cameroon,Chile,1,1,0,0,0,Group
Morocco,Scotland,3,0,3,1,0,Group
Norway,Brazil,2,1,1,1,0,Group
Denmark,France,1,2,-1,0,1,Group
SaudiArabia,SouthAfrica,2,2,0,0,0,Group
Bulgaria,Spain,1,6,-5,0,1,Group
Paraguay,Nigeria,3,1,2,1,0,Group
Korea,Belgium,1,1,0,0,0,Group
Mexico,Netherlands,2,2,0,0,0,Group
Iran,Germany,0,2,-2,0,1,Group
Yugoslavia,UnitedStates,1,0,1,1,0,Group
Jamaica,Japan,2,1,1,1,0,Group
Croatia,Argentina,0,1,-1,0,1,Group
Tunisia,Romania,1,1,0,0,0,Group
England,Colombia,2,0,2,1,0,Group
Norway,Italy,0,1,-1,0,1,Round of Sixteen
Chile,Brazil,1,4,-3,0,1,Round of Sixteen
Paraguay,France,0,1,-1,0,1,Round of Sixteen
Denmark,Nigeria,4,1,3,1,0,Round of Sixteen
Mexico,Germany,1,2,-1,0,1,Round of Sixteen
Yugoslavia,Netherlands,1,2,-1,0,1,Round of Sixteen
Croatia,Romania,1,0,1,1,0,Round of Sixteen
England,Argentina,2,2,0,0,0,Round of Sixteen
France,Italy,0,0,0,0,0,Quarter Finals
Denmark,Brazil,2,3,-1,0,1,Quarter Finals
Argentina,Netherlands,1,2,-1,0,1,Quarter Finals
Croatia,Germany,3,0,3,1,0,Quarter Finals
Netherlands,Brazil,1,1,0,0,0,Semi Finals
Croatia,France,1,2,-1,0,1,Semi Finals
Croatia,Netherlands,2,1,1,1,0,Third Place
France,Brazil,3,0,3,1,0,Winner
