Team,Opponent,Goals Made,Goals Conceded,Delta Goals,Wins,Losses,Result
Uruguay,Netherlands,2,3,-1,0,1,Semi Finals
Germany,Spain,0,1,-1,0,1,Semi Finals
Uruguay,Germany,2,3,-1,0,1,Fourth Place
Netherlands,Spain,0,1,-1,0,1,Runner-Up
Mexico,South Africa,1,1,0,0,0,Group
France,Uruguay,0,0,0,0,0,Group
Greece,Korea,0,2,-2,0,1,Group
Nigeria,Argentina,0,1,-1,0,1,Group
UnitedStates,England,1,1,0,0,0,Group
Slovenia,Algeria,1,0,1,1,0,Group
Ghana,Serbia,1,0,1,1,0,Group
Australia,Germany,0,4,-4,0,1,Group
Denmark,Netherlands,0,2,-2,0,1,Group
Cameroon,Japan,0,1,-1,0,1,Group
Paraguay,Italy,1,1,0,0,0,Group
Slovakia,New Zealand,1,1,0,0,0,Group
Portugal,CotedIvoire,0,0,0,0,0,Group
KoreaDPR,Brazil,1,2,-1,0,1,Group
Chile,Honduras,1,0,1,1,0,Group
Switzerland,Spain,1,0,1,1,0,Group
Uruguay,South Africa,3,0,3,1,0,Group
Korea,Argentina,1,4,-3,0,1,Group
Nigeria,Greece,1,2,-1,0,1,Group
Mexico,France,2,0,2,1,0,Group
Serbia,Germany,1,0,1,1,0,Group
UnitedStates,Slovenia,2,2,0,0,0,Group
Algeria,England,0,0,0,0,0,Group
Japan,Netherlands,0,1,-1,0,1,Group
Australia,Ghana,1,1,0,0,0,Group
Denmark,Cameroon,2,1,1,1,0,Group
Paraguay,Slovakia,2,0,2,1,0,Group
New Zealand,Italy,1,1,0,0,0,Group
CotedIvoire,Brazil,1,3,-2,0,1,Group
KoreaDPR,Portugal,0,7,-7,0,1,Group
Switzerland,Chile,0,1,-1,0,1,Group
Honduras,Spain,0,2,-2,0,1,Group
Uruguay,Mexico,1,0,1,1,0,Group
South Africa,France,2,1,1,1,0,Group
Korea,Nigeria,2,2,0,0,0,Group
Argentina,Greece,2,0,2,1,0,Group
England,Slovenia,1,0,1,1,0,Group
Algeria,UnitedStates,0,1,-1,0,1,Group
Germany,Ghana,1,0,1,1,0,Group
Serbia,Australia,1,2,-1,0,1,Group
Italy,Slovakia,2,3,-1,0,1,Group
New Zealand,Paraguay,0,0,0,0,0,Group
Japan,Denmark,3,1,2,1,0,Group
Netherlands,Cameroon,2,1,1,1,0,Group
Brazil,Portugal,0,0,0,0,0,Group
CotedIvoire,KoreaDPR,3,0,3,1,0,Group
Spain,Chile,2,1,1,1,0,Group
Honduras,Switzerland,0,0,0,0,0,Group
Korea,Uruguay,1,2,-1,0,1,Round of Sixteen
Ghana,UnitedStates,2,1,1,1,0,Round of Sixteen
England,Germany,1,4,-3,0,1,Round of Sixteen
Mexico,Argentina,1,3,-2,0,1,Round of Sixteen
Slovakia,Netherlands,1,2,-1,0,1,Round of Sixteen
Chile,Brazil,0,3,-3,0,1,Round of Sixteen
Japan,Paraguay,0,0,0,0,1,Round of Sixteen
Portugal,Spain,0,1,-1,0,1,Round of Sixteen
Brazil,Netherlands,1,2,-1,0,1,Quarter Finals
Ghana,Uruguay,1,1,0,0,0,Quarter Finals
Germany,Argentina,4,0,4,1,0,Quarter Finals
Spain,Paraguay,1,0,1,1,0,Quarter Finals
Netherlands,Uruguay,3,2,1,1,0,Semi Finals
Spain,Germany,1,0,1,1,0,Semi Finals
Germany,Uruguay,3,2,1,1,0,Third Place
Spain,Netherlands,1,0,1,1,0,Winner
